"bay","behavior","site_track","x","y"
"FB","none","177264_4",529287.560494668,5372175.29465178
"FB","none","177264_4",529287.161750525,5372179.7757748
"FB","none","177264_4",529286.763006383,5372184.25689781
"FB","none","177264_4",529286.364262241,5372188.73802083
"FB","none","177264_4",529285.965518099,5372193.21914384
"FB","none","177264_4",529285.566773957,5372197.70026686
"FB","none","177264_4",529285.168029815,5372202.18138987
"FB","none","177264_4",529284.769285673,5372206.66251289
"FB","none","177264_4",529284.37054153,5372211.1436359
"FB","none","177264_4",529284.181369118,5372213.26957293
"FB","none","177264_4",529283.992196705,5372215.39550996
"FB","none","177264_4",529283.803024293,5372217.52144698
"FB","none","177264_4",529283.61385188,5372219.64738401
"FB","none","177264_4",529283.424679468,5372221.77332103
"FB","none","177264_4",529283.235507055,5372223.89925806
"FB","none","177264_4",529283.080732227,5372225.63863177
"FB","none","177264_4",529282.925957399,5372227.37800548
"FB","none","177264_4",529282.771182571,5372229.11737919
"FB","none","177264_4",529282.616407743,5372230.8567529
"FB","none","177264_4",529282.461632915,5372232.59612661
"FB","none","177264_4",529282.306858087,5372234.33550032
"FB","none","177264_4",529282.64787697,5372230.50309889
"FB","none","177264_4",529282.988895853,5372226.67069746
"FB","none","177264_4",529283.378699717,5372222.29004609
"FB","none","177264_4",529283.768503582,5372217.90939471
"FB","none","177264_4",529284.158307446,5372213.52874333
"FB","none","177264_4",529284.548111311,5372209.14809196
"FB","none","177264_4",529284.937915175,5372204.76744058
"FB","none","177264_4",529285.32771904,5372200.3867892
"FB","none","177264_4",529285.734323975,5372195.8173254
"FB","none","177264_4",529286.140928911,5372191.24786159
"FB","none","177264_4",529286.547533846,5372186.67839779
"FB","none","177264_4",529286.954138782,5372182.10893398
"FB","none","177264_4",529287.943614349,5372170.98911679
"FB","none","177264_4",529289.021641859,5372158.87414416
"FB","none","177264_4",529290.099669369,5372146.75917154
"FB","none","177264_4",529291.177696879,5372134.64419892
"FB","none","177264_4",529292.255724389,5372122.5292263
"FB","none","177264_4",529293.333751899,5372110.41425368
"FB","none","177264_4",529302.356211846,5372103.83512913
"FB","none","177264_4",529311.378671792,5372097.25600457
"FB","none","177264_4",529320.401131739,5372090.67688002
"FB","none","177264_4",529329.423591685,5372084.09775546
"FB","none","177264_4",529338.691963819,5372077.33931294
"FB","none","177264_4",529347.714423765,5372070.76018838
"FB","none","177264_4",529358.07287917,5372063.20686372
"FB","none","177264_4",529368.431334574,5372055.65353906
"FB","none","177264_4",529379.244752978,5372047.76845755
"FB","none","177264_4",529389.603208382,5372040.21513289
"FB","none","177264_4",529399.961663787,5372032.66180823
"FB","none","177264_4",529410.77508219,5372024.77672672
"FB","none","177264_4",529421.133537595,5372017.22340206
"FB","none","177264_4",529433.659206708,5372005.68254398
"FB","none","177264_4",529446.941059832,5371993.24186849
"FB","none","177264_4",529460.222912957,5371980.80119299
"FB","none","177264_4",529472.74858207,5371969.26033491
"FB","none","177264_4",529485.274251182,5371957.71947684
"FB","none","177264_4",529500.212658946,5371932.95852127
"FB","none","177264_4",529513.914235313,5371907.90161969
"FB","none","177264_4",529527.61581168,5371882.84471812
"FB","none","177264_4",529542.174023022,5371855.02287926
"FB","none","177264_4",529556.455792491,5371828.252254
"FB","none","177264_4",529571.014003833,5371800.43041514
"FB","none","177264_4",529573.430085187,5371780.90750979
"FB","none","177264_4",529575.846166541,5371761.38460444
"FB","none","177264_4",529578.262247895,5371741.86169909
"FB","none","177264_4",529580.894870409,5371720.58905469
"FB","none","177264_4",529583.310951763,5371701.06614934
"FB","none","177264_4",529585.943574277,5371679.79350494
"FB","none","177264_4",529589.425737043,5371657.09134372
"FB","none","177264_4",529592.827106924,5371636.8596624
"FB","none","177264_4",529596.311129355,5371613.79627245
"FB","none","177264_4",529598.710379847,5371604.13453872
"FB","none","177264_4",529601.937511195,5371586.97986746
"FB","none","177264_4",529605.420103394,5371563.6832192
"FB","none","177264_4",529607.819353887,5371554.02148547
"FB","none","177264_4",529610.782014117,5371540.05452352
"FB","none","177264_4",529614.167171162,5371529.09354115
"FB","none","177264_4",529617.552328207,5371518.13255878
"FB","none","177264_4",529622.370702126,5371502.53088655
"FB","none","177264_4",529627.189076044,5371486.92921432
"FB","none","177264_4",529635.210941271,5371460.95478492
"FB","none","177264_4",529643.35065885,5371434.59875541
"FB","none","177264_4",529648.850753628,5371416.78970227
"FB","none","177264_4",529651.977196247,5371406.66642519
"FB","none","177264_4",529654.280152223,5371396.04655611
"FB","none","177264_4",529656.583108199,5371385.42668702
"FB","none","177264_4",529659.620901854,5371369.81557118
"FB","none","177264_4",529663.231541035,5371350.27851941
"FB","none","177264_4",529666.269334689,5371334.66740357
"FB","none","177264_4",529669.307128344,5371319.05628773
"FB","none","177264_4",529672.344921999,5371303.44517188
"FB","none","177264_4",529675.382715654,5371287.83405604
"FB","none","177264_4",529675.748509837,5371263.52205755
"FB","none","177264_4",529679.156805125,5371237.41218554
"FB","none","177264_4",529680.582345153,5371226.49157377
"FB","none","177264_4",529682.007885182,5371215.570962
"FB","none","177264_4",529683.43342521,5371204.65035023
"FB","none","177264_4",529685.453557612,5371189.17475524
"FB","none","177264_4",529687.913210613,5371170.33213185
"FB","none","177264_4",529689.933343015,5371154.85653686
"FB","none","177264_4",529691.358883043,5371143.93592509
"FB","none","177264_4",529693.379015445,5371128.46033009
"FB","none","177264_4",529695.399147847,5371112.98473509
"FB","none","177264_4",529693.984971305,5371093.03043666
"FB","none","177264_4",529688.048257602,5371085.49730344
"FB","none","177264_4",529682.111543899,5371077.96417022
"FB","none","177264_4",529676.181264703,5371068.10845802
